Abbreviation,Term
insp,inspecter
insp,inspection
insp,inspection sommaire
instnl,institutional
instr,instruction
instr coll,instruction collective
instr ldrsp,instruction en leadership
intcpt,interception
intl,international
inund,inundation
IO,intelligence officer
IP,intellectual property
IPC,incentive pay category
IP Op,information protection operation
IPS,indefinite period of service
IR,infrarouge
IRBM,intermediate-range ballistic missile
IRBV,information resources of business value
IRF,immediate reaction force
IRU,immediate reaction unit
IS,information system
IS,internal security
IS Admin,information services administrator
ISAF,International Security Assistance Force
IS COE,Information Sharing Centre of Excellence
ISL,International Stand-by List
IS ops,internal security operations
ISSO,information system security officer
ITO,information technology officer
ITSMF,Information Technology Service Management Framework
IWS,individual weapon sight
J1 Coord,J1 Coordination
J3 Engr Ops,J3 Engineer Operations
J3 Intl,J3 International
J3 Ops NDCC,J3 Operations – National Defence Command Centre
J4 Ammo,J4 Ammunition
J4 Ammo,J4 Munitions
J4 Med Ops,J4 Medical Operations
J Fd Wksp,Joint Field Workshop
JAG,Judge Advocate General
JAG Admin Mgr,Judge Advocate General – Administration Manager
JAG Admin O,Judge Advocate General – Admin Officer
JAG Compt,Judge Advocate General – Comptroller
JAG GO,Judge Advocate General – General Office
JAG Info,Judge Advocate General – Informatic
JAG Lib,Judge Advocate General – Library
JAG Pers,Judge Advocate General – Civilian Personnel
JC2IS,Joint Command and Control Information System
JCR,Junior Canadian Rangers
JDHQP,Joint Deployable Headquarters Project
JHQ,joint headquarters
JIIFC,joint information and intelligence fusion capability
JIMP,"joint, integrated, multinational and public"
JMP Coy,Joint Military Police Company
jr NCO,junior non-commissioned officer
jr offrs,junior officers
JRCSC,Joint Reserve Command and Staff Course
JSP,Joint Space Project
JTFC Watch,joint task force central watch
JTFN FCC,Joint Task Force (North) Formation Command Cell
JTP,Joint Terminology Panel
Jul,July
KFS,"knife, fork and spoon"
KIA,killed in action
KM,knowledge management
lab,laboratory
LAB,low-altitude bombing
LAH,light attack helicopter
LAV,light armoured vehicle
LAW,light anti-tank weapon
LBD,"laundry, bath and decontamination"
LCC,Learning and Career Centre
LCMM,life cycle materiel manager
LCS,Light Communication Suite
LCSS,Land Command Support System
ldrsp,leadership
ldrsp trg,leadership training
LF,land force
LF,landing force
LFA,Land Force Area
LFAS,Land Force Arctic Strategy
LFCASTC ,Land Force Central Area Simulation Training Centre 
LFTS,Land Force Training System
LFX,live firing exercise
LH,light helicopter
LIB,light infantry brigade
Linc & Welld R,The Lincoln and Welland Regiment
ling,linguistics
LL,light line
LLAD,low-level air defence
LLTR,low-level transit route
LO,liaison officer
LOB,left out of battle
LOC,logistics operations centre
loc,locality
loc,locating
loc,location
LOCON,lower control
LOFT,land operations and familiarization training
Log O,logistics officer
LOS,line of sight
LOSV,light oversnow vehicle
LOTS,logistics over the shore
LPO,local purchasing officer
LRPA,long-range patrol aircraft
LRTA,long-range transport aircraft
LSM,local supply manager
LSV,light support vehicle
LSVW,light support vehicle wheeled
lt,light
LTH,light towed howitzer
lt mor,light mortar
LTSDT,line to shoot down to
LUVW,light utility vehicle wheeled 
LVO,Lieutenant of the Royal Victorian Order
LWOP,leave without pay
LWR,line of weapon release
LWR Band,The Lincoln and Welland Regiment Band
M Health,mental health
M/1 R NFLD R,"Musique, 1er Bataillion, The Royal Newfoundland Regiment"
MA,military adviser
Maint Con O,maintenance control officer
Maint O,maintenance officer
MAMS O,Mobile Air Movements Section officer
MAPS,modular azimuth positioning system
Mar,March
MARLANT,Maritime Forces Atlantic
MARPAC,Maritime Forces Pacific
MAS,Military Agency for Standardization
MASIS,Materiel Acquisition and Support Information System
MASS,Military Administrative Support System
matc,matelot-chef
MB,mechanized brigade
MB,Medal of Bravery
MC,Military Committee
MCF,Military Christian Fellowship of Canada
MCO,material control officer
MCOR,Mat Campus Orderly Room
MCRU,Mobile Conrtrol Reporting Unit
MCS,management consulting services
MCS,Medium Communication Suite
MDMP,military decision-making process
mech,mechanical
METC,Munitions and Experimental Test Centre
MEUF,Multi-Engine Utility Flight
MF,mortar fire 
MFR,mandatory functional requirement
MFRC,Military Family Resource Centre
Mgt Svcs O,management services officer
MHE,material handling equipment
MHP,Maritime Helicopter Project
MHTC,Maritime Helicopter Training Centre
MIB,mechanized infantry brigade
MICA,management information control authority
MIFR,Master International Frequency Register
MIFS,medium indirect fire system
Mil COTS,military commercial-off-the-shelf
MILREP,military representative
MIR,medical inspection room
MIRV,multiple independently-targetable re-entry vehicle
MLBU,mobile laundry and bath unit
MLC,military load classification
MLOC,minimum level of capability
MLVW,medium logistic vehicle wheeled
MMM,Member of the Order of Military Merit
MMO,military manning overhead
MMV,Medal of Military Valour
MND,Minister of National Defence
MO,medical officer
mo,month
MOA,mission-oriented approach
MOC,military occupation
MOCC,military occupation code
MoE,measure of effectiveness
MOM,Member of the Order of Merit of the Police Forces
MoP,measure of performance
MoRI,management of recorded information
MORTREP,mortar bombing report
MOU,memorandum of understanding
Mov O,movements officer
MP,military police
MP Clk,military police clerk
MPCIS,Military Police Criminal Intelligence Section
MPEU,Maritime Proving and Evaluation Unit
MPI,mean point of impact
MP Intru Alm,military police intrusion alarms
MPNRC,Military Police National Records Centre
MRAAW,medium range anti-armour weapon
MRP,Managed Readiness Plan
MRS,medical reception station
MRTI,multirole thermal imager
MSC,married service couple
MSC,Meritorious Service Cross
MSM,Meritorious Service Medal
MSO ,Mechanical Support Organization
MSOC,Marine Security Operations Centre
MSR,main supply route
MSS,Ministerial Speechwriting Section
MSVS,medium support vehicle system
MTAP,Military Training Assistance Programme
MTC,Mission Training Centre
mtd,mounted
mtn arty,mountain artillery
MTSC Gagetown,Militia training support centre Gagetown
MTTH,medium tactical transport helicopter
MTTR,mean time to repair
MVO,Member of the Royal Victorian Order
MWC,mine warfare coordinator
MWO,master warrant officer
N.L.,Newfoundland and Labrador
N.W.T.,Northwest Territories
NAC,North Atlantic Council
NAF,non-aligned forces
NATO,North Atlantic Treaty Organization
NATO CMC,Chairman of the NATO Military Committee
NATO OCMC,Office of Chairman of the NATO Military Committee
Nav O,navigation officer
NBCW,"nuclear, biological and chemical warfare"
NCCIS,National Command Centre
NCCIS,"National Command, Control and Information System"
NCIU,National Counter-Intelligence Unit
NCM,non-commissioned member
NCMPD,non-commissioned member professional development 
NCO,non-commissioned officer
ND,National Defence
NDA,National Defence Act
NDCC Watch,National Defence Command Centre watch
NDCS,National Deployable Communication Systems
NDHQ,National Defence Headquarters
NDID,National Defence Index of Documentation
NDIS,National Defence identification services
NDO,nuclear defence officer
NDOL,National Defence On-Line
NDQA WC,National Defence Quality Assurance Work Centre
NEOps,network-enabled operations
NETP,Naval Environmental Training Programme
NETPO,Naval Environmental Training Programme – Officers
NFSFO,naval fire support forward observer
NFSLO,naval fire support liaison officer
NFSSO,naval fire support staff officer
NGRI,Network Gated over Remote Infrastructure
NIS,National Investigation Service
NLO,nursing liaison officer
NLT,not later than
NLW,non-lethal weapon
NMC,National Military Cemetery
NMPPC,National Military Personnel Policy Centre
NMR,national military representative
NOC,network operations centre 
NOB,naval order of battle
NOD,night observation device
NOK,next-of-kin
NORAD,North American Aerospace Defence Command
NOS,network operations and security
Nov,November
NP,National Procurement
NPF,non-public funds
NRL,national rear link
NRTWG,National Recruiting Transformation Working Group
NSA,new shipborne aircraft
NSE CC,National Support Element Chief Clerk
NSL,nuclear safety line
NTR,nothing to report
NTV,northern terrain vehicle
nuc arty,nuclear artillery
nuc wpn,nuclear weapon
NUSIC,nuclear strike information centre
NVAT,Network Vulnerability Analysis Team
OA,operational airworthiness
O Admin,officier d’administration
O Compt,officier comptable
O Info,officier d’information
O Resp,officier responsable
O Svc Alim,officier – services d’alimentation
O&E,organization and establishments
O&M,operation and maintenance
O&M,operations and maintenance
OA,occupational analysis
OAA,Operational Airworthiness Authority
OAC,operational airworthiness clearance
OAS,offensive air support
OBC,Order of British Columbia
obsn,observation
obst,obstruction
OC,officer commanding
OC,Officer of the Order of Canada
OC Dent,officer commanding – dental
Ocdt,officer cadet
OCG,Office of the Chaplain General
OCI,office of collateral interest
OCMC,Office of Chairman of the Military Committee
OC Sp,officer commanding – support
OC Svc,officer in command of services sub-unit
Oct,October
ODS,Office of Defence Security
OFA,Operations Funding Account
off,offence
off,offensif
off,offensive
offr,officer
offr,officier
offr sub,officiers subalternes
OGD,other government department
OGS,officer general specification
OHC,overhead cover
OHP,overhead protection
OHPT,overhead projector transparency
OIC,officer in charge
OL,official languages
OLIF,official languages information form
OM,officier marinier
OM,Order of Manitoba
OM,Order of Merit
OMM,Officer of the Order of Military Merit
ONL,Order of Newfoundland and Labrador
ONS,Order of Nova Scotia
OOD,officer of the day
OOM,Officer of the Order of Merit of the Police Forces
Oont,Order of Ontario
OOW,officer of the watch
OPEI,Order of Prince Edward Island
op instr,operation instruction
op O,operation order
op plan,operation plan
op res,operational reserve
op stocks,operational stocks
op trg,operational training
OPD,officer professional development
OPI,office of primary interest
OPME,Officer Professional Military Education
OPMS,Operational Performance Measurement System
OPP,operational planning process
OPRED,operational readiness
ops,operations
Ops Clk,operations clerk
Ops IMO,operations information management officer
Ops O,operations officer
Ops OR,operations orderly room
OPSTR,operational strength
Ops WO,operations warrant officer
O Radiop,officier de radioprotection
ORBAT,order of battle
OR Clk,orderly room clerk
ORO,operations room officer
ORTL,Operational Research Team Leader
OS,obligatory service
OS,officier de service
OS,ordinary seaman
OSB,operational support base
OSEER,on-site establishment evaluation review
OSVB,Occupation Specification Validation Board
OTC,officer in tactical command
OTM,officier technicien en munitions
OTP,Officer Training Plan
P Res,Primary Reserve
P.E.I.,Prince Edward Island
PA,public affairs
PAA,program alignment architecture
PA Branch,Public Affairs Branch
PAO,pay accounts officer
PAO,public affairs officer
PAR,precision approach radar
PAS,protected aircraft shelter
PC,performance check
PROCOL,protection collective
PCRA,Project Complexity and Risk Assessment
PEN,personal emergency notification
PERO,physical education and recreation officer
PCF,primary combat function
PFTPS,previous full-time paid service
PGM,precision guided munition
ph,phase
Pharm O,pharmacy officer
photo,photograph
photo,photographie
photo,photography
PI,photographic interpretation
PIS,photographic interpretation section
Pl Comd,platoon commander
PLF,parachute landing fall
PLQ,primary leadership qualification
PLS,palletized loading system
PMC,president of the mess committee
PMIR,Preventive Maintenance Inspection Report
PMO,project management office
PMO,Prime Minister’s Office
PMRS,particularized maintenance and repair specification
PO,performance objective
PO,petty officer
PO,post office
PO 1,"petty officer, 1st class"
PO 2,"petty officer, 2nd class"
POAC,provisional operational airworthiness clearance
POCT,Presiding Officer Certification Training
POE,port of embarkation
POMV,privately-owned motor vehicle
POR,post-operation report
PORT,Presiding Officer Re-certification Test
POW,prisoner of war
PPCLI,Princess Patricia’s Canadian Light Infantry
PPF,pilot proficiency flight
PR,public relations
PRECS,Primary Reserve Employment Capacity Study
PRETC,Post Recruit Education and Training Centre
Priv Off,Privacy Office
PRL,Primary Reserve List
PRO,public relations officer
prod,products
Proj O,project officer
PRR,Performance Review Report
PSO,Primary Standardization Office
PSO,personnel selection officer
PsyOps,psychological operations
Psel Branch,Personnel Selection Branch
QAWC,Quality Assurance Workcentre
QCA,Queen Charlotte Armoury
QHM Halifax,Queen’s Harbour Master Halifax
QRF,quick reaction force
R Regina Rif,The Royal Regina Rifles
R&D,research and development
R&O,repair and overhaul
RA,radius of action
RA,reinforced alert
RA,restricted area
Rad SO,radiation safety officer
RAP,rocket-assisted projectile
RAS,replenishment at sea
RASDC,rear area security and damage control
RASDCC,rear area security and damage control centre
rat,ration
RBO,radio beacon omnidirectional
RC,reduced charge
RCA,Royal Canadian Artillery
RRCA,Royal Regiment of Canadian Artillery
RCAC,Royal Canadian Armoured Corps
RCAF,Royal Canadian Air Force
RCAF Recog,Royal Canadian Air Force Recognition
RCCS,Royal Canadian Corps of Signals
RCHA,Royal Canadian Horse Artillery
RCIS Borden,Regional Cadet Instructor School Borden
RCIS Edmonton,Regional Cadet Instructor School Edmonton
RCIS Halifax,Regional Cadet Instructor School Halifax
RCLS,Royal Canadian Logistics Service
RCMP,Royal Canadian Mounted Police
RCMP HQ,RCMP Headquarters
RCMP HQ,Royal Canadian Mounted Police Headquarters
RCO,range control officer
RCR,The Royal Canadian Regiment
RCSU Northern,Regional Cadet Support Unit (Northern)
rd,round
RDAO VEND ADM(ST),Regional Departmental Accounting Office for Vendors – Assistant Deputy Minister (Science and Technology)
RDP,record of disciplinary proceedings
RDS,ready duty ship
rec,recover
rec,recovery
Recruit O,recruiting officer
red SA,red situational awareness
ref,reference
Reg FPP,Regular Force Pension Plan
rel,release
Reloc O,relocation officer
REL S,Reliability Screening
replen,replenish
Res F,Reserve Force
Res FPP,Reserve Force Pension Plan
restd,restricted
RGS Eastern,Regional Gliding School (Eastern)
RHFC,Royal Highland Fusiliers of Canada
RHLI Band,The Royal Hamilton Light Infanty (Wentworth Regiment) Band
RHU,replacement holding unit
RI,radiation intensity
RI,recorded information
RIA,recruiting information aid
RIPL,reconnaissance and interdiction planning line
RM Rang,The Rocky Mountain Rangers
RNfldR,Royal Newfoundland Regiment
RNRS,Remoting of naval radio stations
RO,recruiting office
RO,reference object
RO,routine order
ROA,restricted operations area
ROTP,Regular Officer Training Plan
ROUTP,Reserve Officer University Training Plan
RP,reporting post
RP mor,rounds per mortar
RPG,rounds per gun
RPV,remotely piloted vehicle
RRB,radio rebroadcast station
RRC,rapid reaction corps
RRTR,reduced range training round
RRF,rapid reaction force
RSO,range safety officer
RSO,regimental survey officer
RT,radius of target
RTA,Ranges and Training Areas
RTO,railway traffic officer
RTO,railway transport officer
RTU,returned to unit
RWS,relative weight strength
S area,search area
S EW O,squadron electronic warfare officer
S of F,sector of fire
S Ops O,squadron operations officer
SC,Star of Courage
SMV,Star of Military Valour
s/off,sous-officier
s/off sub,sous-officier subalterne
SA,situational awareness
SA ,system authority
SAA,small arms ammunition
SAAC,shipborne advanced air controller
SAAC-S,shipborne advanced air controller – supervisor
SAC,shipborne air controller
SACO,System Access Control Officer
Safe O,safety officer
SAL,security alert levels
SAM,surface-to-air guided missile
SAPCO,Special Access Programme Coordination Office of the Canadian Forces
SAPCO,Special Access Programme Coordination Officer
SAR,search and rescue
SARSAT system,search and rescue satellite aided tracking system
SASP,special ammunition supply point
SAST,Strategic Analysis Support Tool
SAT,strategic advisory team
S Bay,Édifice Shirley’s Bay
S Bay,Shirley’s Bay Building
SBC,safe backing course
School Cmdt,school commandant
SCLO,senior Canadian liaison officer
SCM,standing court martial
SCO,senior Canadian officer
SCO,system control officer
SCTF,Standing Contingency Task Force
SCW,Strategic Core Watch
SDA,sea duty allowance
SDA,special duty area
SDO,signal dispatch office
SDO,signal despatch office
SDO,special duty operation
SDS,special duty service
sec,sector
Sec OOW,second officer of the watch
sect,section
Sect Comd,Section Commander
secur,security
Secur O,security officer
secy,secretary
SEWS,satellite early warning system
SF,scheduled flight
SF,sustained fire
SF Coy,Special Forces Company
SHELREP,shelling report
SHO,ship’s office
SHORAD,short-range air defence
SHR,Supplementary Holding Reserve
Sig O,signal officer
Sig Svcs,Signal Services
SIN,social insurance number
SIP,strategic intake plan
SIS,special investigation service
SJS,Strategic Joint Staff
SLOC,sea lines of communications
SLOO,senior logistics operations officer
slt,searchlight
SMO,support to military operations
SN,service number
SNAC,serial number accounting and control
Snr WO,senior warrant officer
SO,staff officer
SO Comms,staff officer communications
SO Doc,staff officer doctrine
SODO,senior operations duty officer
SO Hels,staff officer helicopters
SO Maint,staff officer maintenance
SO Ops,staff officer operations
SO Plans,staff officer plans
SO Trg,staff officer – training
SOF,special operations forces
SofS,surveillance of space
SofSP,Surveillance of Space Project
SOG,Special Operations Group
SOL,second official language
SOLET,Second Official Language Education and Training 
son,section
SOODO,Standing Operations Order for Domestic Operations
SOP,standing operating procedure
SOP,standard operating procedures
SOR,statement of ordinary residence
SOS,struck off strength
SPCO,Special Programmes Coordination Office
SPCO,Special Programmes Coordination Officer
SPDB,service prison and detention barracks
Spec Proj O,special project officer
spec staff,specialist staff
SP how,self-propelled howitzer
SPR,selected place of residence
sr NCO,senior non-commissioned officer
SRAAM,short-range anti-air missile
SRAAW,short-range anti-armour weapon
SRAM,short-range attack missile
SRARM,short-range anti-radiation missile
SRBM,short-range ballistic missile
sr offrs,senior officers
SRR,Supplementary Ready Reserve
SRTA,short-range transport aircraft
SRTF,Strategic Reserve Task Force
sr WO,senior warrant officer
SSN,nuclear-powered attack submarine
SSO,senior staff officer
SSR,security sector reform
SSX,single-sided exercise
S&T,supply and transport
STARTEX,start of the exercise
stat,statistics
STC,simulation training centre
STO,Special Technical Operations
STO Chief,Special Technical Operations Chief
STOL,short take-off and landing
STRIKWARN,nuclear strike warning
SUBMA,submarine allowance
Sup O,supply officer
sup offr,superior officer
Supp Res,Supplementary Reserve
svc,service
svc,serviceable
svc info,services d’information
svcs,services
SWASM,South-West Asia Service Medal
SWATO,squadron weapons and tactics officer
swbd,switchboard
SWO,social welfare officer
T-DVPNI,Transparent Defence Virtual Private Network Infrastructure
TA,technical airworthiness
TAA,Technical Airworthiness Authority
tac air staging pl,tactical air staging platoon
tac hel,tactical helicopter
Tac School,Tactics School
tacan,tactical air navigation 
TACOM,theatre area command
TACS,tactical air control system
TAF,tactical air force
TAG,tactical aviation group
TAIS,tactical Army information system
TALD,tactical air launched decoy
TAMS,tactical air movement section
TAOR,tactical area of operational responsibility
TAP,target approach point
TB,theatre base
TBA,to be announced
TBCO,to be carried out
tbe,tombe
TBM,tactical ballistic missile 
TCCCS,"Tactical Command, Control and Communication System"
TCP,time credit for promotion
TCV,troop-carrying vehicle
TD,temporary docket
TD,temporary duty
TDAN,Technical Data Action Notice
TDO,training development officer
TE,training establishment
tech,technical
tel,telephone
telecomm,telecommunications
Telecomm O,telecommunication officer
temp,temporary
TEWT,tactical exercise without troops
tfmn,transformation
Tfmn Tm,Transformation Team
TH,transport helicopter
THQ,theatre headquarters
Thur,Thursday
TI,thermal imagery
TIS Sqn,telecommunications and information services squadron
TJS,tactical jamming system
TLARS,trackway launch and recovery system
TLD,third-location decompression
TLP,Tactical Leadership Program Florennes
tmt,treatment
Tn SET,Transportation Standardization and Evaluation Team
TO,theatre of operations
TO,transport officer
TO,transportation officer
TOB,time of burst
TOCA,transfer of command authority
TOF,time of flight
topo,topographie
topo,topography
TOPP,threat-oriented protection posture
TOR,terms of reference
torp,torpedo
TOS,terms of service
TPMS,Trainee Production Management System
TPMS(U),Trainee Production Management System (Upgrade)
Tpt SET,Transport Standardization and Evaluation Team
TR&D,training resources and development
TRA,threat risk assessment
Trans Off,Translation Office
Trg Clk,training clerk
trg dev,training development
Trg Dev Branch,Training Development Branch
Trg O,training officer
TSAT,Transformation Staff Action Team
TSC,Transformation Steering Committee
TSG,Transformation Steering Group
TSO,technical services officer
TRUMP,Tribal Class Update and Modernization Project
TTADB,tactical terrain analysis database
TWMP,track-width mine plough
UCR,unsatisfactory condition report
UCS,United Classification Standard
UH,utility helicopter
UHF,ultra-high frequency
UIO,unit information officer
ULO,university liaison officer
UN,United Nations
UNFICYP,United Nations Force in Cyprus
UNGOMAP,United Nations Good Offices Mission in Afghanistan and Pakistan
unk,unknown
UNTSO,United Nations Truce Supervision Organization in Palestine
US/USA,United States
UTPNCM,University Training Plan – Non Commissioned Members
UTPO,University Training Plan – Officers
UTTH,utility tactical transport helicopter
VCDS,Vice Chief of the Defence Staff
VCP,vehicle collecting point
veh,vehicle
veh/h,vehicles per hour
Vendor Info,Vendor Information
VHF,very high frequency
VHLAD,very high level air defence
VIP,very important person
Visits WO,visits warrant officer
VLLAD,very low level air defence
VOR,vehicle off road
VTOL,vertical take-off and landing aircraft
VTRS,Video Teleconferencing Reservation System 
W Admin CC,wing administration chief clerk
W Admin O,wing administrative officer
W Chap,wing chaplain
W COMCEN,wing communication centre
W Comd,wing commander
W Comd EA,executive assistant to the wing commander
W Compt,wing comptroller
W CWO,wing chief warrant officer
W Duty Ops O,wing duty operations officer
W Food Svcs O,wing food services officer
W EW O,wing electronic warfare officer
W IP O,wing information protection officer
W Int O,wing intelligence officer
W Log O,wing logistics officer
W Met O,wing meteorological officer
W Pers Admin O,wing personnel administration officer
W Sup O,wing supply officer
W Tn O,wing transportation officer
WA,waiting area
WATCO,wing air traffic control officer
WCPO,wing civilian personnel officer
WE,war establishment
WEF,with effect from …
WEMEO,wing electrical mechanical engineering officer
West NSR,The West Nova Scotia Regiment
WFC,wing fire chief
WFSO,wing flight safety officer
WGSO,wing general safety officer
Whitehorse Cdt STC,Whitehorse Cadet Summer Training Centre
white SA,white situational awareness
WIA,wounded in action
WLEO,wing logistics and engineering officer
WMD,weapon of mass destruction
WMRV,wheeled maintenance and recovery vehicle
WO,warrant officer
WP,water point
Wpns O,weapons officer
WPSO,wing personnel selection officer
WRT,with regards to
WS,water supply
WSAMPO,wing security and military police officer
WSR,weapon system releaser
WSWO,wing social welfare officer
WTISO,wing telecommunications and information services officer
XO,executive officer
YFR,yearly flying rate
